id,emailaddress
43,chad.lewis@sgdigital.com
1876,adam.sutton@sgdigital.com
2192,sue.jensen@sgdigital.com
1796,cecil.davis@sgdigital.com
52,jim.flowers@sgdigital.com
110,bennie.woods@sgdigital.com
276,luther.klein@sgdigital.com
407,nathan.paul@sgdigital.com
751,ken.munoz@sgdigital.com
852,marlon.riley@sgdigital.com
735,myron.mccoy@sgdigital.com
1367,yvonne.gutierrez@sgdigital.com
1405,darrin.warren@sgdigital.com
1381,leo.barker@sgdigital.com
1563,larry.hansen@sgdigital.com
1953,mae.lambert@sgdigital.com
2334,rochelle.bradley@sgdigital.com
2525,grace.castillo@sgdigital.com
2537,malcolm.baker@sgdigital.com
2538,hilda.cohen@sgdigital.com
2613,lillian.collins@sgdigital.com
2639,marcia.lynch@sgdigital.com
2778,stephen.rogers@sgdigital.com
3113,troy.lynch@sgdigital.com
3344,esther.obrien@sgdigital.com
2366,pete.rowe@sgdigital.com
3419,dale.phillips@sgdigital.com
3469,guy.rodriquez@sgdigital.com
3544,byron.myers@sgdigital.com
3557,raymond.byrd@sgdigital.com
3630,thelma.henry@sgdigital.com
3631,katherine.thornton@sgdigital.com
3660,otis.barker@sgdigital.com
2451,valerie.craig@sgdigital.com
2475,doris.weaver@sgdigital.com
3757,rose.briggs@sgdigital.com
3770,robin.ray@sgdigital.com
2577,rosalie.dean@sgdigital.com
2651,courtney.watts@sgdigital.com
2820,june.thompson@sgdigital.com
2894,melba.saunders@sgdigital.com
3392,mona.poole@sgdigital.com
3448,inez.casey@sgdigital.com
3607,yvette.reid@sgdigital.com
3633,mable.horton@sgdigital.com
3641,terrance.collier@sgdigital.com
3662,lynn.hernandez@sgdigital.com
3758,esta.lewicki@sgdigital.com
3788,avinia.shugart@sgdigital.com
59,rene.frank@sgdigital.com
180,adrienne.smith@sgdigital.com
1023,moses.walton@sgdigital.com
1158,paulette.graham@sgdigital.com
2217,marianne.jackson@sgdigital.com
3378,marion.gross@sgdigital.com
2321,jason.harrington@sgdigital.com
2690,philip.chambers@sgdigital.com
2717,maria.crawford@sgdigital.com
3384,joey.spencer@sgdigital.com
3394,jaime.page@sgdigital.com
3689,curtis.franklin@sgdigital.com
65,guadalupe.knight@sgdigital.com
209,israel.oliver@sgdigital.com
289,gene.thompson@sgdigital.com
301,patrick.clark@sgdigital.com
331,willis.hayes@sgdigital.com
608,shannon.zimmerman@sgdigital.com
1025,melody.may@sgdigital.com
1233,craig.ward@sgdigital.com
1639,andres.bennett@sgdigital.com
1891,ann.hill@sgdigital.com
1547,barbara.sanchez@sgdigital.com
1622,erika.fox@sgdigital.com
2236,kayla.schneider@sgdigital.com
